link,Owner,Extension,Level,DateCreated,DateAccessed,DateWritten,TotalByteSize,DirectByteSize,DirectFileCount,CharacterLength,pathString,parentName,ID,parentID,TotalFileCount,bg_clr,ico,ext,fileType,bgclr,i.ico,i.fileType,Name,Type,DateWrittenIndexDate,DateCreatedIndexDate,DateAccessedIndexDate,filter
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/assignment.zh-tw.md"">NA assignment.zh-tw</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,431,,,85,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\assignment.zh-tw,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,238,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.bn.md"">NA README.bn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,21312,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.bn,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,239,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.bn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,10390,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.es,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,240,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.fr.md"">NA README.fr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,10318,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.fr,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,241,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.fr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.id.md"">NA README.id</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,9525,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.id,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,242,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.id,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,9917,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.it,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,243,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.ja.md"">NA README.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,10791,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.ja,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,244,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.ko.md"">NA README.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,9640,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.ko,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,245,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.pt-br.md"">NA README.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,10002,,,81,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.pt-br,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,246,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.ru.md"">NA README.ru</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,17346,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.ru,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,247,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ru,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.tr.md"">NA README.tr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,10310,,,78,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.tr,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,248,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.tr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.zh-cn.md"">NA README.zh-cn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,7962,,,81,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.zh-cn,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,249,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/1-intro-to-ML/translations/README.zh-tw.md"">NA README.zh-tw</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,7957,,,81,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations\README.zh-tw,C:\ML-For-Beginners-main\1-Introduction\1-intro-to-ML\translations,250,10,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/assignment.md"">NA assignment</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,889,,,68,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\assignment,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML,251,11,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/lesson-2.pdf""><i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i> lesson-2</a>",ECNCR/Kedidaz,pdf,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1217964,,,67,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\lesson-2,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML,252,11,1,#ffcdd2,"<i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i>",pdf,pdf,#ffcdd2,"<i class=""fa fa-file-pdf"" role=""presentation"" aria-label=""file-pdf icon""></i>",pdf,lesson-2,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/README.md"">NA README</a>",ECNCR/Kedidaz,md,3,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,11173,,,64,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\README,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML,253,11,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/images/eliza.png""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> eliza</a>",ECNCR/Kedidaz,png,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,139377,,,71,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\images\eliza,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\images,254,12,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",png,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,eliza,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/images/shakey.jpg""><i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i> shakey</a>",ECNCR/Kedidaz,jpg,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,59438,,,72,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\images\shakey,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\images,255,12,1,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",jpg,picture,#d1c4e9,"<i class=""fa fa-file-picture"" role=""presentation"" aria-label=""file-picture icon""></i>",picture,shakey,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.es.md"">NA assignment.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1052,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.es,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,256,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.fr.md"">NA assignment.fr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1055,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.fr,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,257,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.fr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.id.md"">NA assignment.id</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,941,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.id,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,258,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.id,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.it.md"">NA assignment.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,880,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.it,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,259,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.ja.md"">NA assignment.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1111,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.ja,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,260,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.ko.md"">NA assignment.ko</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,993,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.ko,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,261,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ko,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.pt-br.md"">NA assignment.pt-br</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,991,,,87,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.pt-br,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,262,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.pt-br,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.ru.md"">NA assignment.ru</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,1305,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.ru,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,263,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.ru,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.tr.md"">NA assignment.tr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,999,,,84,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.tr,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,264,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.tr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.zh-cn.md"">NA assignment.zh-cn</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,854,,,87,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.zh-cn,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,265,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-cn,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/assignment.zh-tw.md"">NA assignment.zh-tw</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,854,,,87,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\assignment.zh-tw,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,266,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,assignment.zh-tw,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/README.es.md"">NA README.es</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,12650,,,80,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\README.es,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,267,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.es,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/README.fr.md"">NA README.fr</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,13379,,,80,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\README.fr,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,268,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.fr,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/README.id.md"">NA README.id</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,12011,,,80,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\README.id,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,269,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.id,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/README.it.md"">NA README.it</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,12557,,,80,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\README.it,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,270,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.it,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
"<a href=""file:C:/ML-For-Beginners-main/1-Introduction/2-history-of-ML/translations/README.ja.md"">NA README.ja</a>",ECNCR/Kedidaz,md,4,2022-08-26T17:15:00Z,2022-08-26T17:15:00Z,2022-08-04T10:40:00Z,13796,,,80,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations\README.ja,C:\ML-For-Beginners-main\1-Introduction\2-history-of-ML\translations,271,13,1,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",md,,,"<i class=""fa fa-file"" role=""presentation"" aria-label=""file icon""></i>",,README.ja,File,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,2022-08-26T00:00:00Z,TRUE
